product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
tamarind-amp-date-sauce,natco,340g,natco_foods,natco-natco-tamarind-date-sauce-340g,,true
garlic-amp-chilli-sauce,natco,340g,natco_foods,natco-natco-garlic-chilli-sauce-340g,,true
chilli-sauce-hot,natco,310g,natco_foods,natco-natco-chilli-sauce-hot-310g,,true
tamarind-sauce,natco,340g,natco_foods,natco-natco-tamarind-sauce-340g,,true
bombay-sandwich-spread,natco,280g,natco_foods,natco-natco-bombay-sandwich-spread-280g,,true
garlic-amp-ginger-paste,natco,190g,natco_foods,natco-natco-garlic-ginger-paste-190g,,true
ginger-paste,natco,190g,natco_foods,natco-natco-ginger-paste-190g,,true
garlic-paste,natco,190g,natco_foods,natco-natco-garlic-paste-190g,,true
garlic-pickle,natco,300g,natco_foods,natco-natco-garlic-pickle-300g,,true
mango-chutney-sweet,natco,340g,natco_foods,natco-natco-mango-chutney-sweet-340g,,true
mango-chutney-spicy,natco,340g,natco_foods,natco-natco-mango-chutney-spicy-340g,,true
thecha-chilli-paste,natco,300g,natco_foods,natco-natco-thecha-chilli-paste-300g,,true
brinjal-chutney-sweet,natco,300g,natco_foods,natco-natco-brinjal-chutney-sweet-300g,,true
chundo-chutney-sweet,natco,340g,natco_foods,natco-natco-chundo-chutney-sweet-340g,,true
gorkeri-chutney-sweet,natco,300g,natco_foods,natco-natco-gorkeri-chutney-sweet-300g,,true
lime-pickle-hot,natco,300g,natco_foods,natco-natco-lime-pickle-hot-300g,,true
mixed-pickle,natco,300g,natco_foods,natco-natco-mixed-pickle-300g,,true
chilli-pickle-hot,natco,300g,natco_foods,natco-natco-chilli-pickle-hot-300g,,true
mango-pickle-hot,natco,300g,natco_foods,natco-natco-mango-pickle-hot-300g,,true
chick-peas,natco,2-5kg,natco_foods,natco-natco-chick-peas-25kg,,true
chick-peas,natco,2kg,natco_foods,natco-natco-chick-peas-2kg,,true
chick-peas-full-case-12x400g,natco,400g,natco_foods,natco-natco-chick-peas-full-case-12x400g-400g,,true
pomace-olive-oil,natco,5l,natco_foods,natco-natco-pomace-olive-oil-5-litre,,true
pomace-olive-oil,natco,1l,natco_foods,natco-natco-pomace-olive-oil-1-litre,,true
red-kidney-beans-boiled-full-case-12x400g,natco,400g,natco_foods,natco-natco-red-kidney-beans-boiled-full-case-12x400g-400g,,true
red-kidney-beans,natco,2-5kg,natco_foods,natco-natco-red-kidney-beans-25kg,,true
red-kidney-beans,natco,1kg,natco_foods,natco-natco-red-kidney-beans-1kg,,true
red-kidney-beans,natco,2kg,natco_foods,natco-natco-red-kidney-beans-2kg,,true
chick-peas-full-case-4x1kg,natco,1kg,natco_foods,natco-natco-chick-peas-full-case-4x1kg-1kg,,true
coconut-flour,natco,200g,natco_foods,natco-natco-coconut-flour-200g,,true
coconut-flour,natco,1kg,natco_foods,natco-natco-coconut-flour-1kg,,true
all-purpose-seasoning,natco,100g,natco_foods,natco-natco-all-purpose-seasoning-100g,,true
all-purpose-seasoning,natco,400g,natco_foods,natco-natco-all-purpose-seasoning-400g,,true
pine-nuts,natco,75g,natco_foods,natco-natco-pine-nuts-75g,,true
mamra-basmati,natco,908g,natco_foods,natco-natco-mamra-basmati-908g,,true
mamra-basmati,natco,200g,natco_foods,natco-natco-mamra-basmati-200g,,true
big-d-salted-peanuts-24x50g,natco,50g,natco_foods,natco-natco-big-d-salted-peanuts-24x50g-50g,,true
big-d-honey-roast-peanuts-12x50g-packs-on-a-pub-card,natco,12multipack,natco_foods,natco-natco-big-d-honey-roast-peanuts-12x50g-packs-on-a-pub-card-12x50g,,true
bhel-puri-kit,natco,500g,natco_foods,natco-natco-bhel-puri-kit-500g,,true
big-d-salted-cashews-12x30g-cards,natco,12multipack,natco_foods,natco-natco-big-d-salted-cashews-12x30g-cards-12x30g,,true
white-kidney-beans,natco,400g,natco_foods,natco-natco-white-kidney-beans-400g,,true
spinach-puree,natco,395g,natco_foods,natco-natco-spinach-puree-395g,,true
spinach-puree,natco,794g,natco_foods,natco-natco-spinach-puree-794g,,true
black-eyed-beans,natco,400g,natco_foods,natco-natco-black-eyed-beans-400g,,true
pure-sesame-oil,natco,1l,natco_foods,natco-natco-pure-sesame-oil-1-litre,,true
pure-sesame-oil,natco,250ml,natco_foods,natco-natco-pure-sesame-oil-250ml,,true
groundnut-oil,natco,1l,natco_foods,natco-natco-groundnut-oil-1-litre,,true
pure-linseed-oil,natco,250ml,natco_foods,natco-natco-pure-linseed-oil-250ml,,true
castor-oil,natco,250ml,natco_foods,natco-natco-castor-oil-250ml,,true
almond-oil,natco,500ml,natco_foods,natco-natco-almond-oil-500ml,,true
almond-oil,natco,250ml,natco_foods,natco-natco-almond-oil-250ml,,true
rosemary-jar,natco,40g,natco_foods,natco-natco-rosemary-jar-40g,,true
demerara-sugar,natco,500g,natco_foods,natco-natco-demerara-sugar-500g,,true
demerara-sugar,natco,1-5kg,natco_foods,natco-natco-demerara-sugar-15kg,,true
whole-birdseye-chilli-jar,natco,40g,natco_foods,natco-natco-whole-birdseye-chilli-jar-40g,,true
whole-birdseye-chilli-jar,natco,50g,natco_foods,natco-natco-whole-birdseye-chilli-jar-50g,,true
coriander-seeds-jar,natco,60g,natco_foods,natco-natco-coriander-seeds-jar-60g,,true
coriander-seeds-jar,natco,65g,natco_foods,natco-natco-coriander-seeds-jar-65g,,true
ajwan-seeds,natco,300g,natco_foods,natco-natco-ajwan-seeds-300g,,true
amchoor-powder,natco,400g,natco_foods,natco-natco-amchoor-powder-400g,,true
black-pepper-coarse,natco,300g,natco_foods,natco-natco-black-pepper-coarse-300g,,true
black-pepper-coarse,natco,1kg,natco_foods,natco-natco-black-pepper-coarse-1kg,,true
black-pepper-coarse,natco,100g,natco_foods,natco-natco-black-pepper-coarse-100g,,true
black-pepper-ground,natco,400g,natco_foods,natco-natco-black-pepper-ground-400g,,true
black-pepper-ground-jar,natco,100g,natco_foods,natco-natco-black-pepper-ground-jar-100g,,true
black-pepper-whole,natco,1kg,natco_foods,natco-natco-black-pepper-whole-1kg,,true
black-pepper-whole,natco,300g,natco_foods,natco-natco-black-pepper-whole-300g,,true
black-pepper-whole-jar,natco,100g,natco_foods,natco-natco-black-pepper-whole-jar-100g,,true
brown-chick-peas,natco,2kg,natco_foods,natco-natco-brown-chick-peas-2kg,,true
brown-chick-peas,natco,500g,natco_foods,natco-natco-brown-chick-peas-500g,,true
cardamom-green-ground,natco,50g,natco_foods,natco-natco-cardamom-green-ground-50g,,true
cardamom-green,natco,200g,natco_foods,natco-natco-cardamom-green-200g,,true
cardamom-seeds,natco,100g,natco_foods,natco-natco-cardamom-seeds-100g,,true
cassia-dalchini,natco,400g,natco_foods,natco-natco-cassia-dalchini-400g,,true
chilli-powder,natco,1kg,natco_foods,natco-natco-chilli-powder-1kg,,true
chilli-powder,natco,100g,natco_foods,natco-natco-chilli-powder-100g,,true
chilli-powder-extra-hot,natco,400g,natco_foods,natco-natco-chilli-powder-extra-hot-400g,,true
chilli-powder-kashmiri,natco,100g,natco_foods,natco-natco-chilli-powder-kashmiri-100g,,true
chilli-powder-kashmiri,natco,400g,natco_foods,natco-natco-chilli-powder-kashmiri-400g,,true
chilli-whole-birdseye,natco,150g,natco_foods,natco-natco-chilli-whole-birdseye-150g,,true
chilli-whole-stemless,natco,200g,natco_foods,natco-natco-chilli-whole-stemless-200g,,true
chinese-5-spice,natco,100g,natco_foods,natco-natco-chinese-5-spice-100g,,true
cinnamon-sticks,natco,50g,natco_foods,natco-natco-cinnamon-sticks-50g,,true
cloves,natco,200g,natco_foods,natco-natco-cloves-200g,,true
cloves-ground,natco,50g,natco_foods,natco-natco-cloves-ground-50g,,true
coriander-ground,natco,400g,natco_foods,natco-natco-coriander-ground-400g,,true
coriander-seeds,natco,300g,natco_foods,natco-natco-coriander-seeds-300g,,true
chilli-crushed,natco,300g,natco_foods,natco-natco-chilli-crushed-300g,,true
cumin-ground-jar,natco,70g,natco_foods,natco-natco-cumin-ground-jar-70g,,true
cumin-ground,natco,100g,natco_foods,natco-natco-cumin-ground-100g,,true
cumin-ground,natco,400g,natco_foods,natco-natco-cumin-ground-400g,,true
cumin-seeds,natco,400g,natco_foods,natco-natco-cumin-seeds-400g,,true
cumin-seeds-black,natco,100g,natco_foods,natco-natco-cumin-seeds-black-100g,,true
cumin-seeds-jar,natco,100g,natco_foods,natco-natco-cumin-seeds-jar-100g,,true
curry-powder,natco,400g,natco_foods,natco-natco-curry-powder-400g,,true
curry-powder-hot,natco,400g,natco_foods,natco-natco-curry-powder-hot-400g,,true
curry-powder-hot,natco,100g,natco_foods,natco-natco-curry-powder-hot-100g,,true
curry-powder-medium-jar,natco,100g,natco_foods,natco-natco-curry-powder-medium-jar-100g,,true
curry-leaves,natco,100g,natco_foods,natco-natco-curry-leaves-100g,,true
fennel-seeds,natco,400g,natco_foods,natco-natco-fennel-seeds-400g,,true
fennel-seeds-jar,natco,100g,natco_foods,natco-natco-fennel-seeds-jar-100g,,true
garlic-flakes,natco,100g,natco_foods,natco-natco-garlic-flakes-100g,,true
garlic-powder,natco,100g,natco_foods,natco-natco-garlic-powder-100g,,true
garlic-powder-jar,natco,100g,natco_foods,natco-natco-garlic-powder-jar-100g,,true
ginger-powder,natco,100g,natco_foods,natco-natco-ginger-powder-100g,,true
ground-ginger-jar,natco,70g,natco_foods,natco-natco-ground-ginger-jar-70g,,true
kala-namak,natco,300g,natco_foods,natco-natco-kala-namak-300g,,true
kala-namak,natco,100g,natco_foods,natco-natco-kala-namak-100g,,true
mace-ground,natco,50g,natco_foods,natco-natco-mace-ground-50g,,true
methi-leaves-jar,natco,10g,natco_foods,natco-natco-methi-leaves-jar-10g,,true
methi-seeds-fenugreek,natco,400g,natco_foods,natco-natco-methi-seeds-fenugreek-400g,,true
methi-seeds-jar,natco,100g,natco_foods,natco-natco-methi-seeds-jar-100g,,true
moth-beans,natco,2kg,natco_foods,natco-natco-moth-beans-2kg,,true
moth-beans,natco,500g,natco_foods,natco-natco-moth-beans-500g,,true
mustard-seeds,natco,400g,natco_foods,natco-natco-mustard-seeds-400g,,true
mustard-seeds-black-jar,natco,100g,natco_foods,natco-natco-mustard-seeds-black-jar-100g,,true
kalwanji-nigella-seeds,natco,300g,natco_foods,natco-natco-kalwanji-nigella-seeds-300g,,true
kalwanji-nigella-seeds-jar,natco,100g,natco_foods,natco-natco-kalwanji-nigella-seeds-jar-100g,,true
nutmeg-ground,natco,50g,natco_foods,natco-natco-nutmeg-ground-50g,,true
nutmeg-ground-jar,natco,100g,natco_foods,natco-natco-nutmeg-ground-jar-100g,,true
nutmeg-whole-jar,natco,100g,natco_foods,natco-natco-nutmeg-whole-jar-100g,,true
panchpuran-5-whole-spice,natco,1kg,natco_foods,natco-natco-panchpuran-5-whole-spice-1kg,,true
paprika-powder,natco,400g,natco_foods,natco-natco-paprika-powder-400g,,true
paprika-powder-jar,natco,100g,natco_foods,natco-natco-paprika-powder-jar-100g,,true
saffron,natco,1g,natco_foods,natco-natco-saffron-1g,,true
takmuria-basil-seeds,natco,100g,natco_foods,natco-natco-takmuria-basil-seeds-100g,,true
tamarind-paste-jar,natco,250g,natco_foods,natco-natco-tamarind-paste-jar-250g,,true
tamarind-slab,natco,200g,natco_foods,natco-natco-tamarind-slab-200g,,true
tamarind-wet,natco,400g,natco_foods,natco-natco-tamarind-wet-400g,,true
toor-dal-oily,natco,2kg,natco_foods,natco-natco-toor-dal-oily-2kg,,true
toor-dal-oily,natco,1kg,natco_foods,natco-natco-toor-dal-oily-1kg,,true
toor-dal-plain,natco,2kg,natco_foods,natco-natco-toor-dal-plain-2kg,,true
toor-dal-plain,natco,500g,natco_foods,natco-natco-toor-dal-plain-500g,,true
turmeric-powder,natco,400g,natco_foods,natco-natco-turmeric-powder-400g,,true
turmeric-powder-jar,natco,100g,natco_foods,natco-natco-turmeric-powder-jar-100g,,true
urid-dal-white,natco,2kg,natco_foods,natco-natco-urid-dal-white-2kg,,true
urid-dal-white,natco,1kg,natco_foods,natco-natco-urid-dal-white-1kg,,true
urid-beans,natco,2kg,natco_foods,natco-natco-urid-beans-2kg,,true
urid-beans,natco,1kg,natco_foods,natco-natco-urid-beans-1kg,,true
urid-split,natco,2kg,natco_foods,natco-natco-urid-split-2kg,,true
urid-split,natco,500g,natco_foods,natco-natco-urid-split-500g,,true
white-pepper-ground,natco,100g,natco_foods,natco-natco-white-pepper-ground-100g,,true
white-pepper-ground-jar,natco,100g,natco_foods,natco-natco-white-pepper-ground-jar-100g,,true
yellow-mustard-seeds,natco,300g,natco_foods,natco-natco-yellow-mustard-seeds-300g,,true
yellow-split-peas,natco,2kg,natco_foods,natco-natco-yellow-split-peas-2kg,,true
yellow-split-peas,natco,1kg,natco_foods,natco-natco-yellow-split-peas-1kg,,true
mango-pickle,national-foods,500g,multiple_suppliers,national-foods-national-mango-pickle-500g,,true
mixed-pickle,national-foods,300g,multiple_suppliers,national-foods-national-mixed-pickle-300g,,true
classic,nescafe,200g,multiple_suppliers,nescafe-nescafe-classic-200g,,true
coconut-oil,parachute,500ml,multiple_suppliers,parachute-parachute-coconut-oil-500ml,,true
bourbon,parle,200g,parle_products,parle-parle-parle-bourbon-200g,,true
g-glucose-biscuits,parle,400g,parle_products,parle-parle-parle-g-glucose-biscuits-400g,,true
g-glucose-biscuits,parle,1kg,parle_products,parle-parle-parle-g-glucose-biscuits-1kg,,true
mango-bite,parle,40piece,parle_products,parle-parle-parle-mango-bite-40-piece-bag,,true
melody,parle,40piece,parle_products,parle-parle-parle-melody-40-piece-bag,,true
monaco-salted-crackers,parle,200g,parle_products,parle-parle-parle-monaco-salted-crackers-200g,,true
lime-pickle,pataks,283g,ab_world_foods,pataks-pataks-pataks-lime-pickle-283g,,true
mango-chutney,pataks,340g,ab_world_foods,pataks-pataks-pataks-mango-chutney-340g,,true
mixed-pickle,pataks,283g,ab_world_foods,pataks-pataks-pataks-mixed-pickle-283g,,true
tikka-masala-paste,pataks,290g,ab_world_foods,pataks-pataks-pataks-tikka-masala-paste-290g,,true
chakki-fresh-atta,pillsbury,5kg,multiple_suppliers,pillsbury-pillsbury-pillsbury-chakki-fresh-atta-5kg,,true
chakki-fresh-atta,pillsbury,10kg,multiple_suppliers,pillsbury-pillsbury-pillsbury-chakki-fresh-atta-10kg,,true
avakaya-mango-pickle,priya,500g,priya_foods,priya-priya-avakaya-mango-500g,,true
garlic-pickle,priya,300g,priya_foods,priya-priya-garlic-pickle-300g,,true
gongura-mutton-pickle,priya,300g,priya_foods,priya-priya-gongura-mutton-300g,,true
gongura-pickle,priya,300g,priya_foods,priya-priya-gongura-pickle-300g,,true
lemon-pickle,priya,500g,priya_foods,priya-priya-lemon-pickle-500g,,true
tomato-pickle,priya,300g,priya_foods,priya-priya-tomato-pickle-300g,,true
mango-concentrate,rasna,750ml,multiple_suppliers,rasna-rasna-mango-750ml,,true
achar-gosht-masala,shan,50g,shan_foods,shan-shan-achar-gosht-50g,,true
bombay-biryani-mix,shan,60g,shan_foods,shan-shan-shan-bombay-biryani-mix-60g,,true
haleem-mix,shan,300g,shan_foods,shan-shan-shan-haleem-mix-300g,,true
pilau-rice-mix,shan,50g,shan_foods,shan-shan-pilau-rice-50g,,true
sindhi-biryani-mix,shan,65g,shan_foods,shan-shan-shan-sindhi-biryani-mix-65g,,true
special-beef-biryani-mix,shan,60g,shan_foods,shan-shan-shan-special-beef-biryani-mix-60g,,true
special-chicken-biryani-mix,shan,60g,shan_foods,shan-shan-shan-special-chicken-biryani-mix-60g,,true
special-mutton-biryani-mix,shan,60g,shan_foods,shan-shan-shan-special-mutton-biryani-mix-60g,,true
tea,tata-gold,500g,multiple_suppliers,tata-gold-tata-gold-tea-500g,,true
tea,tata-gold,1kg,multiple_suppliers,tata-gold-tata-gold-tea-1kg,,true
pure-basmati,tilda,2kg,multiple_suppliers,tilda-tilda-tilda-pure-basmati-2kg,,true
pure-basmati,tilda,5kg,multiple_suppliers,tilda-tilda-tilda-pure-basmati-5kg,,true
pure-basmati,tilda,10kg,multiple_suppliers,tilda-tilda-tilda-pure-basmati-10kg,,true
coarse-black-pepper,trs,100g,trs_vibrant,trs-trs-trs-coarse-black-pepper-100g,,true
coarse-black-pepper,trs,1kg,trs_vibrant,trs-trs-trs-coarse-black-pepper-1kg,,true
coarse-black-pepper,trs,400g,trs_vibrant,trs-trs-trs-coarse-black-pepper-400g,,true
coarse-cornmeal,trs,1-5kg,trs_vibrant,trs-trs-trs-coarse-cornmeal-15kg,,true
coarse-cornmeal,trs,500g,trs_vibrant,trs-trs-trs-coarse-cornmeal-500g,,true
coarse-cornmeal,trs,5kg,trs_vibrant,trs-trs-trs-coarse-cornmeal-5kg,,true
coarse-semolina,trs,1-5kg,trs_vibrant,trs-trs-trs-coarse-semolina-15kg,,true
coarse-semolina,trs,500g,trs_vibrant,trs-trs-trs-coarse-semolina-500g,,true
coarse-semolina,trs,5kg,trs_vibrant,trs-trs-trs-coarse-semolina-5kg,,true
coriander-powder-dhania,trs,100g,trs_vibrant,trs-trs-trs-coriander-powder-dhania-100g,,true
coriander-powder-dhania,trs,1kg,trs_vibrant,trs-trs-trs-coriander-powder-dhania-1kg,,true
coriander-powder-dhania,trs,200g,trs_vibrant,trs-trs-trs-coriander-powder-dhania-200g,,true
coriander-powder-dhania,trs,400g,trs_vibrant,trs-trs-trs-coriander-powder-dhania-400g,,true
coriander-powder-dhania,trs,5kg,trs_vibrant,trs-trs-trs-coriander-powder-dhania-5kg,,true
coriander-seeds-whole-dhania,trs,100g,trs_vibrant,trs-trs-trs-coriander-seeds-whole-dhania-100g,,true
coriander-seeds-whole-dhania,trs,250g,trs_vibrant,trs-trs-trs-coriander-seeds-whole-dhania-250g,,true
coriander-seeds-whole-dhania,trs,3kg,trs_vibrant,trs-trs-trs-coriander-seeds-whole-dhania-3kg,,true
coriander-seeds-whole-dhania,trs,750g,trs_vibrant,trs-trs-trs-coriander-seeds-whole-dhania-750g,,true
crushed-chilli,trs,100g,trs_vibrant,trs-trs-trs-crushed-chilli-100g,,true
crushed-chilli,trs,250g,trs_vibrant,trs-trs-trs-crushed-chilli-250g,,true
crushed-chilli,trs,3kg,trs_vibrant,trs-trs-trs-crushed-chilli-3kg,,true
crushed-chilli,trs,750g,trs_vibrant,trs-trs-trs-crushed-chilli-750g,,true
cumin-powder,trs,100g,trs_vibrant,trs-trs-trs-cumin-powder-100g,,true
cumin-powder,trs,400g,trs_vibrant,trs-trs-trs-cumin-powder-400g,,true
cumin-powder,trs,1kg,trs_vibrant,trs-trs-trs-cumin-powder-1kg,,true
cumin-powder,trs,5kg,trs_vibrant,trs-trs-trs-cumin-powder-5kg,,true
cumin-seeds,trs,100g,trs_vibrant,trs-trs-trs-cumin-seeds-100g,,true
cumin-seeds,trs,1kg,trs_vibrant,trs-trs-trs-cumin-seeds-1kg,,true
cumin-seeds,trs,400g,trs_vibrant,trs-trs-trs-cumin-seeds-400g,,true
cumin-seeds,trs,4kg,trs_vibrant,trs-trs-trs-cumin-seeds-4kg,,true
fennel-seeds,trs,100g,trs_vibrant,trs-trs-trs-fennel-seeds-100g,,true
fennel-seeds,trs,1kg,trs_vibrant,trs-trs-trs-fennel-seeds-1kg,,true
fennel-seeds,trs,400g,trs_vibrant,trs-trs-trs-fennel-seeds-400g,,true
fenugreek-leaves,trs,100g,trs_vibrant,trs-trs-trs-fenugreek-leaves-100g,,true
fenugreek-leaves,trs,1kg,trs_vibrant,trs-trs-trs-fenugreek-leaves-1kg,,true
fenugreek-leaves,trs,300g,trs_vibrant,trs-trs-trs-fenugreek-leaves-300g,,true
fenugreek-leaves,trs,50g,trs_vibrant,trs-trs-trs-fenugreek-leaves-50g,,true
fenugreek-seeds,trs,50g,trs_vibrant,trs-trs-trs-fenugreek-seeds-50g,,true
fenugreek-seeds,trs,100g,trs_vibrant,trs-trs-trs-fenugreek-seeds-100g,,true
fenugreek-seeds,trs,300g,trs_vibrant,trs-trs-trs-fenugreek-seeds-300g,,true
fenugreek-seeds,trs,1kg,trs_vibrant,trs-trs-trs-fenugreek-seeds-1kg,,true
fine-desiccated-coconut,trs,300g,trs_vibrant,trs-trs-trs-fine-desiccated-coconut-300g,,true
fine-desiccated-coconut,trs,1kg,trs_vibrant,trs-trs-trs-fine-desiccated-coconut-1kg,,true
fine-semolina,trs,1-5kg,trs_vibrant,trs-trs-trs-fine-semolina-15kg,,true
fine-semolina,trs,500g,trs_vibrant,trs-trs-trs-fine-semolina-500g,,true
fine-semolina,trs,5kg,trs_vibrant,trs-trs-trs-fine-semolina-5kg,,true
garam-masala,trs,100g,trs_vibrant,trs-trs-trs-garam-masala-100g,,true
garam-masala,trs,200g,trs_vibrant,trs-trs-trs-garam-masala-200g,,true
garam-masala,trs,400g,trs_vibrant,trs-trs-trs-garam-masala-400g,,true
garam-masala,trs,500g,trs_vibrant,trs-trs-trs-garam-masala-500g,,true
garam-masala,trs,1kg,trs_vibrant,trs-trs-trs-garam-masala-1kg,,true
garam-masala,trs,5kg,trs_vibrant,trs-trs-trs-garam-masala-5kg,,true
garlic-powder,trs,100g,trs_vibrant,trs-trs-trs-garlic-powder-100g,,true
garlic-powder,trs,1kg,trs_vibrant,trs-trs-trs-garlic-powder-1kg,,true
garlic-powder,trs,400g,trs_vibrant,trs-trs-trs-garlic-powder-400g,,true
ginger-paste,trs,1kg,trs_vibrant,trs-trs-trs-ginger-paste-1kg,,true
ginger-powder,trs,100g,trs_vibrant,trs-trs-trs-ginger-powder-100g,,true
ginger-powder,trs,400g,trs_vibrant,trs-trs-trs-ginger-powder-400g,,true
ginger-powder,trs,1kg,trs_vibrant,trs-trs-trs-ginger-powder-1kg,,true
green-cardamom,trs,200g,trs_vibrant,trs-trs-trs-green-cardamom-200g,,true
green-cardamom,trs,50g,trs_vibrant,trs-trs-trs-green-cardamom-50g,,true
green-cardamom,trs,750g,trs_vibrant,trs-trs-trs-green-cardamom-750g,,true
green-lentils,trs,500g,trs_vibrant,trs-trs-trs-green-lentils-500g,,true
green-lentils,trs,1kg,trs_vibrant,trs-trs-trs-green-lentils-1kg,,true
green-lentils,trs,2kg,trs_vibrant,trs-trs-trs-green-lentils-2kg,,true
ground-rice,trs,1-5kg,trs_vibrant,trs-trs-trs-ground-rice-15kg,,true
ground-rice,trs,500g,trs_vibrant,trs-trs-trs-ground-rice-500g,,true
ground-rice,trs,5kg,trs_vibrant,trs-trs-trs-ground-rice-5kg,,true
hot-madras-curry,trs,100g,trs_vibrant,trs-trs-trs-hot-madras-curry-100g,,true
hot-madras-curry,trs,400g,trs_vibrant,trs-trs-trs-hot-madras-curry-400g,,true
mild-madras-curry-powder,trs,1kg,trs_vibrant,trs-trs-trs-mild-madras-curry-powder-1kg,,true
mild-madras-curry-powder,trs,2kg,trs_vibrant,trs-trs-trs-mild-madras-curry-powder-2kg,,true
mild-madras-curry-powder,trs,400g,trs_vibrant,trs-trs-trs-mild-madras-curry-powder-400g,,true
mild-madras-curry-powder,trs,500g,trs_vibrant,trs-trs-trs-mild-madras-curry-powder-500g,,true
mild-madras-curry-powder,trs,5kg,trs_vibrant,trs-trs-trs-mild-madras-curry-powder-5kg,,true
moth-beans,trs,500g,trs_vibrant,trs-trs-trs-moth-beans-500g,,true
moth-beans,trs,1kg,trs_vibrant,trs-trs-trs-moth-beans-1kg,,true
moth-beans,trs,2kg,trs_vibrant,trs-trs-trs-moth-beans-2kg,,true
mung-beans,trs,500g,trs_vibrant,trs-trs-trs-mung-beans-500g,,true
mung-beans,trs,1kg,trs_vibrant,trs-trs-trs-mung-beans-1kg,,true
mung-beans,trs,2kg,trs_vibrant,trs-trs-trs-mung-beans-2kg,,true
mung-beans,trs,5kg,trs_vibrant,trs-trs-trs-mung-beans-5kg,,true
mung-dal,trs,500g,trs_vibrant,trs-trs-trs-mung-dal-500g,,true
mung-dal,trs,1kg,trs_vibrant,trs-trs-trs-mung-dal-1kg,,true
mung-dal,trs,2kg,trs_vibrant,trs-trs-trs-mung-dal-2kg,,true
mung-dal,trs,5kg,trs_vibrant,trs-trs-trs-mung-dal-5kg,,true
mung-dal,trs,25kg,trs_vibrant,trs-trs-trs-mung-dal-25kg,,true
mung-dal-chilka-split-green-peas,trs,500g,trs_vibrant,trs-trs-trs-mung-dal-chilka-split-green-peas-500g,,true
mung-dal-chilka-split-green-peas,trs,1kg,trs_vibrant,trs-trs-trs-mung-dal-chilka-split-green-peas-1kg,,true
mung-dal-chilka-split-green-peas,trs,2kg,trs_vibrant,trs-trs-trs-mung-dal-chilka-split-green-peas-2kg,,true
paprika-powder,trs,100g,trs_vibrant,trs-trs-trs-paprika-powder-100g,,true
paprika-powder,trs,1kg,trs_vibrant,trs-trs-trs-paprika-powder-1kg,,true
paprika-powder,trs,400g,trs_vibrant,trs-trs-trs-paprika-powder-400g,,true
paprika-powder,trs,5kg,trs_vibrant,trs-trs-trs-paprika-powder-5kg,,true
popcorn,trs,2kg,trs_vibrant,trs-trs-trs-popcorn-2kg,,true
popcorn,trs,500g,trs_vibrant,trs-trs-trs-popcorn-500g,,true
puffed-lotus-seeds-makhana,trs,100g,trs_vibrant,trs-trs-trs-puffed-lotus-seeds-makhana-100g,,true
pure-gram-flour,trs,1kg,trs_vibrant,trs-trs-trs-pure-gram-flour-1kg,,true
pure-gram-flour,trs,20kg,trs_vibrant,trs-trs-trs-pure-gram-flour-20kg,,true
pure-gram-flour,trs,2kg,trs_vibrant,trs-trs-trs-pure-gram-flour-2kg,,true
red-adzuki-beans-red-cow-peas,trs,500g,trs_vibrant,trs-trs-trs-red-adzuki-beans-red-cow-peas-500g,,true
red-adzuki-beans-red-cow-peas,trs,2kg,trs_vibrant,trs-trs-trs-red-adzuki-beans-red-cow-peas-2kg,,true
red-kidney-beans,trs,1kg,trs_vibrant,trs-trs-trs-red-kidney-beans-1kg,,true
red-kidney-beans,trs,2kg,trs_vibrant,trs-trs-trs-red-kidney-beans-2kg,,true
red-kidney-beans,trs,400g,trs_vibrant,trs-trs-trs-red-kidney-beans-400g,,true
red-kidney-beans,trs,500g,trs_vibrant,trs-trs-trs-red-kidney-beans-500g,,true
red-kidney-beans,trs,5kg,trs_vibrant,trs-trs-trs-red-kidney-beans-5kg,,true
red-split-lentils,trs,1kg,trs_vibrant,trs-trs-trs-red-split-lentils-1kg,,true
red-split-lentils,trs,5kg,trs_vibrant,trs-trs-trs-red-split-lentils-5kg,,true
rosecoco-beans,trs,25kg,trs_vibrant,trs-trs-trs-rosecoco-beans-25kg,,true
rosecoco-beans,trs,2kg,trs_vibrant,trs-trs-trs-rosecoco-beans-2kg,,true
rosecoco-beans,trs,500g,trs_vibrant,trs-trs-trs-rosecoco-beans-500g,,true
sarson-ka-saag-spiced-mustard-greens-curry,trs,450g,trs_vibrant,trs-trs-trs-sarson-ka-saag-spiced-mustard-greens-curry-450g,,true
sarson-ka-saag-spiced-mustard-greens-curry,trs,850g,trs_vibrant,trs-trs-trs-sarson-ka-saag-spiced-mustard-greens-curry-850g,,true
tapioca-pearls,trs,1-5kg,trs_vibrant,trs-trs-trs-tapioca-pearls-15kg,,true
tapioca-pearls,trs,500g,trs_vibrant,trs-trs-trs-tapioca-pearls-500g,,true
toor-dal,trs,500g,trs_vibrant,trs-trs-trs-toor-dal-500g,,true
toor-dal,trs,1kg,trs_vibrant,trs-trs-trs-toor-dal-1kg,,true
toor-dal,trs,2kg,trs_vibrant,trs-trs-trs-toor-dal-2kg,,true
toor-dal,trs,25kg,trs_vibrant,trs-trs-trs-toor-dal-25kg,,true
tumeric-powder,trs,100g,trs_vibrant,trs-trs-trs-tumeric-powder-100g,,true
tumeric-powder,trs,400g,trs_vibrant,trs-trs-trs-tumeric-powder-400g,,true
