product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
osmania-biscuits,karachi-bakery,400g,multiple_suppliers,karachi-bakery-karachi-osmania-biscuits-400g,,true
extra-long-basmati,kohinoor,2kg,multiple_suppliers,kohinoor-kohinoor-kohinoor-extra-long-basmati-2kg,,true
extra-long-basmati,kohinoor,5kg,multiple_suppliers,kohinoor-kohinoor-kohinoor-extra-long-basmati-5kg,,true
premium-basmati,lal-qilla,5kg,multiple_suppliers,lal-qilla-lal-qilla-lal-qilla-premium-basmati-5kg,,true
premium-basmati,lal-qilla,10kg,multiple_suppliers,lal-qilla-lal-qilla-lal-qilla-premium-basmati-10kg,,true
gajar-ka-halwa-mix,laziza,150g,laziza_foods,laziza-laziza-gajar-halwa-150g,,true
gulab-jamun-mix,laziza,200g,laziza_foods,laziza-laziza-gulab-jamun-200g,,true
kheer-mix,laziza,150g,laziza_foods,laziza-laziza-kheer-mix-150g,,true
kulfi-mix,laziza,150g,laziza_foods,laziza-laziza-kulfi-mix-150g,,true
rasmalai-mix,laziza,200g,laziza_foods,laziza-laziza-rasmalai-mix-200g,,true
zarda-sweet-rice-mix,laziza,150g,laziza_foods,laziza-laziza-zarda-mix-150g,,true
pure,leo-coffee,200g,multiple_suppliers,leo-coffee-leo-coffee-200g,,true
asafoetida-hing,lg,100g,multiple_suppliers,lg-lg-hing-100g,,true
moong-dal-papad,lijjat,200g,shri_mahila,lijjat-lijjat-lijjat-moong-dal-papad-200g,,true
urad-papad-extra-thin,lijjat,200g,shri_mahila,lijjat-lijjat-lijjat-urad-papad-extra-thin-200g,,true
urad-special-papad,lijjat,200g,shri_mahila,lijjat-lijjat-lijjat-urad-special-papad-200g,,true
2-minute-noodles-masala,maggi,4pack,nestle_india,maggi-maggi-maggi-2-minute-noodles-masala-4-pack,,true
2-minute-noodles-masala-8-pack,maggi,8pack,nestle_india,maggi-maggi-maggi-2-minute-noodles-masala-8-pack-8-pack,,true
hot-sweet-sauce,maggi,400g,nestle_india,maggi-maggi-maggi-hot-sweet-sauce-400g,,true
sambar-masala,mdh,100g,mdh_spices,mdh-mdh-sambar-masala-100g,,true
plain-dosa-mix,mtr,500g,mtr_foods,mtr-mtr-dosa-mix-500g,,true
gulab-jamun-tin,mtr,500g,mtr_foods,mtr-mtr-gulab-jamun-tin-500g,,true
idli-mix,mtr,500g,mtr_foods,mtr-mtr-idli-mix-500g,,true
khaman-dhokla-mix,mtr,500g,mtr_foods,mtr-mtr-dhokla-mix-500g,,true
rasmalai-tin,mtr,500g,mtr_foods,mtr-mtr-rasmalai-tin-500g,,true
rava-dosa-mix,mtr,500g,mtr_foods,mtr-mtr-rava-dosa-mix-500g,,true
rava-idli-mix,mtr,500g,mtr_foods,mtr-mtr-rava-idli-mix-500g,,true
roasted-vermicelli,mtr,400g,mtr_foods,mtr-mtr-vermicelli-400g,,true
upma-mix,mtr,500g,mtr_foods,mtr-mtr-upma-mix-500g,,true
vada-mix,mtr,200g,mtr_foods,mtr-mtr-vada-mix-200g,,true
lemon-juice,natco,500ml,natco_foods,natco-natco-lemon-juice-500ml,,true
lemon-juice-with-essential-oil,natco,200ml,natco_foods,natco-natco-lemon-juice-with-essential-oil-200ml,,true
pure-mustard-oil,natco,250ml,natco_foods,natco-natco-pure-mustard-oil-250ml,,true
rose-water,natco,310ml,natco_foods,natco-natco-rose-water-310ml,,true
kevda-water,natco,310ml,natco_foods,natco-natco-kevda-water-310ml,,true
coconut-flavouring-essence,natco,28ml,natco_foods,natco-natco-coconut-flavouring-essence-28ml,,true
pineapple-flavouring-essence,natco,28ml,natco_foods,natco-natco-pineapple-flavouring-essence-28ml,,true
strawberry-flavouring-essence,natco,28ml,natco_foods,natco-natco-strawberry-flavouring-essence-28ml,,true
rose-flavouring-essence,natco,28ml,natco_foods,natco-natco-rose-flavouring-essence-28ml,,true
almond-flavouring-essence,natco,28ml,natco_foods,natco-natco-almond-flavouring-essence-28ml,,true
vanilla-flavouring-essence,natco,28ml,natco_foods,natco-natco-vanilla-flavouring-essence-28ml,,true
green-food-colouring-liquid,natco,28ml,natco_foods,natco-natco-green-food-colouring-liquid-28ml,,true
