product_handle,brand_handle,shelf_weight_kg,status
pappadoms-punjabi-microwavable,natco,,published
pappadoms-plain-microwavable,natco,,published
pappadoms-jeera-microwavable,natco,,published
pappadoms-black-pepper,natco,,published
luxury-fruit-amp-nuts-mix,natco,,published
luxury-fruit-amp-nut-mix,natco,,published
pistachio-kernels,natco,,published
roasted-amp-salted-pistachio-nuts,natco,,published
roasted-monkey-nuts,natco,,published
peanuts-red,natco,,published
coconut-halves,natco,,published
coconut-flakes,natco,,published
coconut-milk-powder,natco,,published
coconut-desiccated-fine,natco,,published
coconut-desicated-medium,natco,,published
cashew-roasted-salted,natco,,published
cashew-large-white-pieces,natco,,published
cashew-split,natco,,published
cashew-kernel,natco,,published
walnut-halves,natco,,published
pecans,natco,,published
almond-blanched-whole,natco,,published
blanched-almond-whole,natco,,published
almond-flakes,natco,,published
almonds-ground,natco,,published
almonds,natco,,published
pavbhaji-masala-mangal,natco,,published
biryani-masala-mangal,natco,,published
chicken-masala-mangal,natco,,published
sambhar-masala-mangal,natco,,published
pickle-masala-mangal,natco,,published
meat-masala-mangal,natco,,published
chat-masala-mangal,natco,,published
chana-masala-mangal,natco,,published
anardana-powder-mangal,natco,,published
soya-beans,natco,,published
red-lentils-polished,natco,,published
mung-dal-yellow,natco,,published
mung-split,natco,,published
mung-beans,natco,,published
green-lentils,natco,,published
chanadal-polished,natco,,published
brown-lentils,natco,,published
butter-beans,natco,,published
black-eye-beans,natco,,published
alubia-beans,natco,,published
coconut-water,natco,,published
rose-syrup,natco,,published
dried-tarragon,natco,,published
sage-jar,natco,,published
parsley-jar,natco,,published
oregano-jar,natco,,published
mixed-herbs-jar,natco,,published
mint-jar,natco,,published
marjoram-jar,natco,,published
coriander-leaves-jar,natco,,published
basil-jar,natco,,published
milk-powder,natco,,published
ragi-flour,natco,,published
millet-bajri-flour,natco,,published
couscous,natco,,published
semolina-extra-coarse,natco,,published
semolina-coarse,natco,,published
semolina-fine,natco,,published
rice-flour,natco,,published
ground-rice,natco,,published
gram-flour-papa-brand,natco,,published
gram-flour-superfine,natco,,published
white-maize-meal,natco,,published
cornmeal-medium,natco,,published
cornmeal-fine,natco,,published
chakki-atta-multigrain,natco,,published
chapati-flour-medium,natco,,published
chapati-flour-white,natco,,published
golden-raisins,natco,,published
toovar,natco,,published
suran-yam,natco,,published
punjabi-tinda-full-case-12x400g,natco,,published
okra-full-case-12x400g,natco,,published
lotus-root,natco,,published
karela,natco,,published
sarson-ka-saag,natco,,published
patra,natco,,published
tomatoes-chopped-full-case-12x400g,natco,,published
tomatoes-peeled,natco,,published
tomato-paste,natco,,published
spinach-leaf,natco,,published
rose-coco-borlotti-beans,natco,,published
coconut-oil-parachute-brand,natco,,published
olive-oil-extra-virgin,natco,,published
mango-pulp-kesar,natco,,published
mango-slices-alphonso,natco,,published
mango-pulp-alphonso,natco,,published
ghee-pure-butter,natco,,published
ghee-pure-plough-brand,natco,,published
kala-chana-boiled,natco,,published
coconut-cream,natco,,published
coconut-milk-light,natco,,published
coconut-milk,natco,,published
coriander-mint-sauce,natco,,published
tamarind-amp-date-sauce,natco,,published
garlic-amp-chilli-sauce,natco,,published
chilli-sauce-hot,natco,,published
tamarind-sauce,natco,,published
bombay-sandwich-spread,natco,,published
garlic-amp-ginger-paste,natco,,published
ginger-paste,natco,,published
garlic-paste,natco,,published
garlic-pickle,natco,,published
mango-chutney-sweet,natco,,published
mango-chutney-spicy,natco,,published
thecha-chilli-paste,natco,,published
brinjal-chutney-sweet,natco,,published
chundo-chutney-sweet,natco,,published
gorkeri-chutney-sweet,natco,,published
lime-pickle-hot,natco,,published
mixed-pickle,natco,,published
chilli-pickle-hot,natco,,published
mango-pickle-hot,natco,,published
chick-peas,natco,,published
chick-peas-full-case-12x400g,natco,,published
pomace-olive-oil,natco,,published
pomace-olive-oil-blend-3-litres,natco,,published
red-kidney-beans-boiled-full-case-12x400g,natco,,published
red-kidney-beans,natco,,published
chick-peas-full-case-4x1kg,natco,,published
coconut-flour,natco,,published
all-purpose-seasoning,natco,,published
pine-nuts,natco,,published
mamra-basmati,natco,,published
big-d-salted-peanuts-24x50g,natco,,published
big-d-honey-roast-peanuts-12x50g-packs-on-a-pub-card,natco,,published
bhel-puri-kit,natco,,published
big-d-salted-cashews-12x30g-cards,natco,,published
white-kidney-beans,natco,,published
spinach-puree,natco,,published
