product_handle,brand_handle,variant_handle,barcode,backup_barcodes,images,thumbnail,is_active
basmati-rice-kernel,natco,5kg,4567661871176,4567661871176,natco_basmati-rice-kernel-5kg.jpg,natco_basmati-rice-kernel-5kg.jpg,true
basmati-rice-india,natco,2kg,4567662002248,4567662002248,natco_basmati-rice-india-2kg.jpg,natco_basmati-rice-india-2kg.jpg,true
basmati-rice-india-bag,natco,5kg,4567662067784,4567662067784,natco_basmati-rice-india-bag-5kg.jpg,natco_basmati-rice-india-bag-5kg.jpg,true
pappadoms-madras-papa-brand,natco,250g,4567662166088,4567662166088,natco_pappadoms-madras-papa-brand-250g.jpg,natco_pappadoms-madras-papa-brand-250g.jpg,true
pappadoms-madras-coin-size,natco,200g,4567662362696,4567662362696,natco_pappadoms-madras-coin-size-200g.jpg,natco_pappadoms-madras-coin-size-200g.jpg,true
pappadoms-punjabi-microwavable,natco,200g,4567662461000,4567662461000,natco_pappadoms-punjabi-microwavable-200g.jpg,natco_pappadoms-punjabi-microwavable-200g.jpg,true
pappadoms-plain-microwavable,natco,200g,4567662493768,4567662493768,natco_pappadoms-plain-microwavable-200g.jpg,natco_pappadoms-plain-microwavable-200g.jpg,true
pappadoms-jeera-microwavable,natco,200g,4567662526536,4567662526536,natco_pappadoms-jeera-microwavable-200g.jpg,natco_pappadoms-jeera-microwavable-200g.jpg,true
pappadoms-black-pepper,natco,200g,4567662559304,4567662559304,natco_pappadoms-black-pepper-200g.jpg,natco_pappadoms-black-pepper-200g.jpg,true
luxury-fruit-amp-nuts-mix,natco,750g,4567662919752,4567662919752,natco_luxury-fruit-amp-nuts-mix-750g.png,natco_luxury-fruit-amp-nuts-mix-750g.png,true
luxury-fruit-amp-nut-mix,natco,250g,4567662952520,4567662952520,natco_luxury-fruit-amp-nut-mix-250g.png,natco_luxury-fruit-amp-nut-mix-250g.png,true
pistachio-kernels,natco,1kg,GEN_4567663214664_1kg,GEN_4567663214664_1kg;ALT_4567663214664_1kg,natco_pistachio-kernels-1kg.jpg,natco_pistachio-kernels-1kg.jpg,true
pistachio-kernels,natco,250g,GEN_4567663214664_250g,GEN_4567663214664_250g;ALT_4567663214664_250g,natco_pistachio-kernels-1kg.jpg,natco_pistachio-kernels-1kg.jpg,true
pistachio-kernels,natco,100g,GEN_4567663214664_100g,GEN_4567663214664_100g;ALT_4567663214664_100g,natco_pistachio-kernels-1kg.jpg,natco_pistachio-kernels-1kg.jpg,true
roasted-amp-salted-pistachio-nuts,natco,100g,GEN_4567663378504_100g,GEN_4567663378504_100g;ALT_4567663378504_100g,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,true
roasted-amp-salted-pistachio-nuts,natco,1kg,GEN_4567663378504_1kg,GEN_4567663378504_1kg;ALT_4567663378504_1kg,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,true
roasted-amp-salted-pistachio-nuts,natco,300g,GEN_4567663378504_300g,GEN_4567663378504_300g;ALT_4567663378504_300g,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,natco_roasted-amp-salted-pistachio-nuts-1kg.jpg,true
roasted-monkey-nuts,natco,300g,4567663411272,4567663411272,natco_roasted-monkey-nuts-300g.jpg,natco_roasted-monkey-nuts-300g.jpg,true
peanuts-red,natco,1kg,GEN_4567663575112_1kg,GEN_4567663575112_1kg;ALT_4567663575112_1kg,natco_peanuts-red-1kg.jpg,natco_peanuts-red-1kg.jpg,true
peanuts-red,natco,400g,GEN_4567663575112_400g,GEN_4567663575112_400g;ALT_4567663575112_400g,natco_peanuts-red-1kg.jpg,natco_peanuts-red-1kg.jpg,true
coconut-halves,natco,250g,4567663607880,4567663607880,natco_coconut-halves-250g.jpg,natco_coconut-halves-250g.jpg,true
coconut-flakes,natco,200g,4567663673416,4567663673416,natco_coconut-flakes-200g.jpg,natco_coconut-flakes-200g.jpg,true
coconut-milk-powder,natco,300g,4567663804488,4567663804488,natco_coconut-milk-powder-300g.jpg,natco_coconut-milk-powder-300g.jpg,true
coconut-desiccated-fine,natco,300g,4567663837256,4567663837256,natco_coconut-desiccated-fine-300g.jpg,natco_coconut-desiccated-fine-300g.jpg,true
coconut-desicated-medium,natco,1kg,4567663870024,4567663870024,natco_coconut-desicated-medium-1kg.jpg,natco_coconut-desicated-medium-1kg.jpg,true
cashew-roasted-salted,natco,250g,4567664558152,4567664558152,natco_cashew-roasted-salted-250g.jpg,natco_cashew-roasted-salted-250g.jpg,true
cashew-large-white-pieces,natco,750g,4567664590920,4567664590920,natco_cashew-large-white-pieces-750g.jpg,natco_cashew-large-white-pieces-750g.jpg,true
cashew-split,natco,1kg,4567664656456,4567664656456,natco_cashew-split-1kg.jpg,natco_cashew-split-1kg.jpg,true
cashew-kernel,natco,300g,GEN_4567664689224_300g,GEN_4567664689224_300g;ALT_4567664689224_300g,natco_cashew-kernel-300g.jpg,natco_cashew-kernel-300g.jpg,true
cashew-kernel,natco,1kg,GEN_4567664689224_1kg,GEN_4567664689224_1kg;ALT_4567664689224_1kg,natco_cashew-kernel-300g.jpg,natco_cashew-kernel-300g.jpg,true
walnut-halves,natco,700g,GEN_4567664787528_700g,GEN_4567664787528_700g;ALT_4567664787528_700g,natco_walnut-halves-700g.jpg,natco_walnut-halves-700g.jpg,true
walnut-halves,natco,200g,GEN_4567664787528_200g,GEN_4567664787528_200g;ALT_4567664787528_200g,natco_walnut-halves-700g.jpg,natco_walnut-halves-700g.jpg,true
pecans,natco,200g,4567664820296,4567664820296,natco_pecans-200g.jpg,natco_pecans-200g.jpg,true
almond-blanched-whole,natco,250g,4567664885832,4567664885832,natco_almond-blanched-whole-250g.jpg,natco_almond-blanched-whole-250g.jpg,true
blanched-almond-whole,natco,700g,4567664918600,4567664918600,natco_blanched-almond-whole-700g.jpg,natco_blanched-almond-whole-700g.jpg,true
almond-flakes,natco,1kg,GEN_4567664984136_1kg,GEN_4567664984136_1kg;ALT_4567664984136_1kg,natco_almond-flakes-1kg.jpg,natco_almond-flakes-1kg.jpg,true
almond-flakes,natco,300g,GEN_4567664984136_300g,GEN_4567664984136_300g;ALT_4567664984136_300g,natco_almond-flakes-1kg.jpg,natco_almond-flakes-1kg.jpg,true
almonds-ground,natco,300g,4567665016904,4567665016904,natco_almonds-ground-300g.png,natco_almonds-ground-300g.png,true
almonds,natco,1kg,GEN_4567665115208_1kg,GEN_4567665115208_1kg;ALT_4567665115208_1kg,natco_almonds-1kg.jpg,natco_almonds-1kg.jpg,true
almonds,natco,400g,GEN_4567665115208_400g,GEN_4567665115208_400g;ALT_4567665115208_400g,natco_almonds-1kg.jpg,natco_almonds-1kg.jpg,true
pavbhaji-masala-mangal,natco,100g,4567665147976,4567665147976,natco_pavbhaji-masala-mangal-100g.jpg,natco_pavbhaji-masala-mangal-100g.jpg,true
biryani-masala-mangal,natco,50g,4567665180744,4567665180744,natco_biryani-masala-mangal-50g.jpg,natco_biryani-masala-mangal-50g.jpg,true
chicken-masala-mangal,natco,100g,4567665213512,4567665213512,natco_chicken-masala-mangal-100g.jpg,natco_chicken-masala-mangal-100g.jpg,true
sambhar-masala-mangal,natco,100g,4567665279048,4567665279048,natco_sambhar-masala-mangal-100g.jpg,natco_sambhar-masala-mangal-100g.jpg,true
pickle-masala-mangal,natco,125g,4567665344584,4567665344584,natco_pickle-masala-mangal-125g.png,natco_pickle-masala-mangal-125g.png,true
meat-masala-mangal,natco,100g,4567665377352,4567665377352,natco_meat-masala-mangal-100g.jpg,natco_meat-masala-mangal-100g.jpg,true
chat-masala-mangal,natco,100g,4567665442888,4567665442888,natco_chat-masala-mangal-100g.jpg,natco_chat-masala-mangal-100g.jpg,true
chana-masala-mangal,natco,100g,4567665475656,4567665475656,natco_chana-masala-mangal-100g.png,natco_chana-masala-mangal-100g.png,true
anardana-powder-mangal,natco,100g,4567665508424,4567665508424,natco_anardana-powder-mangal-100g.jpg,natco_anardana-powder-mangal-100g.jpg,true
soya-beans,natco,2kg,GEN_4567665573960_2kg,GEN_4567665573960_2kg;ALT_4567665573960_2kg,natco_soya-beans-2kg.jpg,natco_soya-beans-2kg.jpg,true
soya-beans,natco,500g,GEN_4567665573960_500g,GEN_4567665573960_500g;ALT_4567665573960_500g,natco_soya-beans-2kg.jpg,natco_soya-beans-2kg.jpg,true
red-lentils-polished,natco,2kg,GEN_4567666524232_2kg,GEN_4567666524232_2kg;ALT_4567666524232_2kg,natco_red-lentils-polished-2kg.jpg,natco_red-lentils-polished-2kg.jpg,true
red-lentils-polished,natco,1kg,GEN_4567666524232_1kg,GEN_4567666524232_1kg;ALT_4567666524232_1kg,natco_red-lentils-polished-2kg.jpg,natco_red-lentils-polished-2kg.jpg,true
mung-dal-yellow,natco,1kg,GEN_4567666917448_1kg,GEN_4567666917448_1kg;ALT_4567666917448_1kg,natco_mung-dal-yellow-1kg.jpg,natco_mung-dal-yellow-1kg.jpg,true
mung-dal-yellow,natco,2kg,GEN_4567666917448_2kg,GEN_4567666917448_2kg;ALT_4567666917448_2kg,natco_mung-dal-yellow-1kg.jpg,natco_mung-dal-yellow-1kg.jpg,true
mung-split,natco,2kg,GEN_4567666982984_2kg,GEN_4567666982984_2kg;ALT_4567666982984_2kg,natco_mung-split-2kg.jpg,natco_mung-split-2kg.jpg,true
mung-split,natco,500g,GEN_4567666982984_500g,GEN_4567666982984_500g;ALT_4567666982984_500g,natco_mung-split-2kg.jpg,natco_mung-split-2kg.jpg,true
mung-beans,natco,1kg,GEN_4567667081288_1kg,GEN_4567667081288_1kg;ALT_4567667081288_1kg,natco_mung-beans-1kg.jpg,natco_mung-beans-1kg.jpg,true
mung-beans,natco,2kg,GEN_4567667081288_2kg,GEN_4567667081288_2kg;ALT_4567667081288_2kg,natco_mung-beans-1kg.jpg,natco_mung-beans-1kg.jpg,true
green-lentils,natco,1kg,GEN_4567667212360_1kg,GEN_4567667212360_1kg;ALT_4567667212360_1kg,natco_green-lentils-1kg.jpg,natco_green-lentils-1kg.jpg,true
green-lentils,natco,2kg,GEN_4567667212360_2kg,GEN_4567667212360_2kg;ALT_4567667212360_2kg,natco_green-lentils-1kg.jpg,natco_green-lentils-1kg.jpg,true
chanadal-polished,natco,1kg,GEN_4567667310664_1kg,GEN_4567667310664_1kg;ALT_4567667310664_1kg,natco_chanadal-polished-2kg.jpg,natco_chanadal-polished-2kg.jpg,true
chanadal-polished,natco,2kg,GEN_4567667310664_2kg,GEN_4567667310664_2kg;ALT_4567667310664_2kg,natco_chanadal-polished-2kg.jpg,natco_chanadal-polished-2kg.jpg,true
brown-lentils,natco,2kg,GEN_4567667376200_2kg,GEN_4567667376200_2kg;ALT_4567667376200_2kg,natco_brown-lentils-2kg.png,natco_brown-lentils-2kg.png,true
brown-lentils,natco,500g,GEN_4567667376200_500g,GEN_4567667376200_500g;ALT_4567667376200_500g,natco_brown-lentils-2kg.png,natco_brown-lentils-2kg.png,true
butter-beans,natco,2kg,GEN_4567667474504_2kg,GEN_4567667474504_2kg;ALT_4567667474504_2kg,natco_butter-beans-2kg.png,natco_butter-beans-2kg.png,true
butter-beans,natco,500g,GEN_4567667474504_500g,GEN_4567667474504_500g;ALT_4567667474504_500g,natco_butter-beans-2kg.png,natco_butter-beans-2kg.png,true
black-eye-beans,natco,2kg,GEN_4567667572808_2kg,GEN_4567667572808_2kg;ALT_4567667572808_2kg,natco_black-eye-beans-2kg.jpg,natco_black-eye-beans-2kg.jpg,true
black-eye-beans,natco,500g,GEN_4567667572808_500g,GEN_4567667572808_500g;ALT_4567667572808_500g,natco_black-eye-beans-2kg.jpg,natco_black-eye-beans-2kg.jpg,true
alubia-beans,natco,500g,GEN_4567667638344_500g,GEN_4567667638344_500g;ALT_4567667638344_500g,natco_alubia-beans-2kg.jpg,natco_alubia-beans-2kg.jpg,true
alubia-beans,natco,2kg,GEN_4567667638344_2kg,GEN_4567667638344_2kg;ALT_4567667638344_2kg,natco_alubia-beans-2kg.jpg,natco_alubia-beans-2kg.jpg,true
coconut-water,natco,330ml,GEN_4567667671112_330ml,GEN_4567667671112_330ml;ALT_4567667671112_330ml,natco_coconut-water-330ml.jpg,natco_coconut-water-330ml.jpg,true
coconut-water,natco,1l,GEN_4567667671112_1l,GEN_4567667671112_1l;ALT_4567667671112_1l,natco_coconut-water-330ml.jpg,natco_coconut-water-330ml.jpg,true
rose-syrup,natco,725ml,4567667769416,4567667769416,natco_rose-syrup-725ml.jpg,natco_rose-syrup-725ml.jpg,true
dried-tarragon,natco,25g,4567667834952,4567667834952,natco_dried-tarragon-25g.jpg,natco_dried-tarragon-25g.jpg,true
sage-jar,natco,25g,4567667867720,4567667867720,natco_sage-jar-25g.jpg,natco_sage-jar-25g.jpg,true
parsley-jar,natco,25g,4567667933256,4567667933256,natco_parsley-jar-25g.jpg,natco_parsley-jar-25g.jpg,true
oregano-jar,natco,25g,4567667966024,4567667966024,natco_oregano-jar-25g.jpg,natco_oregano-jar-25g.jpg,true
mixed-herbs-jar,natco,25g,4567668064328,4567668064328,natco_mixed-herbs-jar-25g.jpg,natco_mixed-herbs-jar-25g.jpg,true
mint-jar,natco,30g,4567668097096,4567668097096,natco_mint-jar-30g.jpg,natco_mint-jar-30g.jpg,true
marjoram-jar,natco,20g,4567668162632,4567668162632,natco_marjoram-jar-20g.jpg,natco_marjoram-jar-20g.jpg,true
coriander-leaves-jar,natco,25g,4567668195400,4567668195400,natco_coriander-leaves-jar-25g.jpg,natco_coriander-leaves-jar-25g.jpg,true
basil-jar,natco,25g,4567668260936,4567668260936,natco_basil-jar-25g.jpg,natco_basil-jar-25g.jpg,true
milk-powder,natco,750g,GEN_4567668326472_750g,GEN_4567668326472_750g;ALT_4567668326472_750g,natco_milk-powder-750g.jpg,natco_milk-powder-750g.jpg,true
milk-powder,natco,300g,GEN_4567668326472_300g,GEN_4567668326472_300g;ALT_4567668326472_300g,natco_milk-powder-750g.jpg,natco_milk-powder-750g.jpg,true
ragi-flour,natco,900g,4567668523080,4567668523080,natco_ragi-flour-900g.jpg,natco_ragi-flour-900g.jpg,true
millet-bajri-flour,natco,900g,4567668555848,4567668555848,natco_millet-bajri-flour-900g.jpg,natco_millet-bajri-flour-900g.jpg,true
couscous,natco,500g,4567668588616,4567668588616,natco_couscous-500g.jpg,natco_couscous-500g.jpg,true
semolina-extra-coarse,natco,1-5kg,4567668621384,4567668621384,natco_semolina-extra-coarse-15kg.jpg,natco_semolina-extra-coarse-15kg.jpg,true
