"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"cinnamon-sticks","Cinnamon Sticks 50g","50","Spices","spices-herbs","2021BEST;Christmas;cinamon;dalachini;dalchini;mulled;Xmas Cooking","no","in_shopify_only"
"cloves","Cloves 200g","200","Spices","spices-herbs","laung;lung","no","in_shopify_only"
"cloves-ground","Cloves Ground 50g","50","Spices","spices-herbs","laung;lung","no","in_shopify_only"
"clovesjar","Cloves Jar 50g","50","Spice & Herb Jars","spice-herb-jars","Christmas;laung;lung;mulled;Xmas Cooking","no","in_shopify_only"
"coconut-essence","Coconut Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","Christmas;coconut;essence;essences;flavouring;flavourings;naariyal;nariyal;Xmas Cooking","no","in_shopify_only"
"coriander-ground","Coriander Ground 400g","400","Spices","spices-herbs","corriander;daniya;dhaniya","no","in_shopify_only"
"coriander-ground-jars","Coriander Ground Jar 70g","70","Spice & Herb Jars","spice-herb-jars","corriander;daniya;dhaniya","no","in_shopify_only"
"coriander-leaves-jar","Coriander Leaves Jar 25g","25","Herbs","spices-herbs","corriander;daniya;dhaniya","no","in_shopify_only"
"coriander-seeds","Coriander Seeds 300g","300","Spices","spices-herbs","2021BEST;corriander;daniya;dhaniya","no","in_shopify_only"
"coriander-seeds-jar","Coriander Seeds Jar 65g","65","Spice & Herb Jars","spice-herb-jars","corriander;daniya;dhaniya","no","in_shopify_only"
"coriander-seeds-jar-60g","Coriander Seeds Jar 60g","60","Spice & Herb Jars","spice-herb-jars","corriander;daniya;dhaniya","no","in_shopify_only"
"crushed-chilli","Chilli Crushed 300g","300","Spices","spices-herbs","chili;chilli flakes;chillies;lal mirch","no","in_shopify_only"
"cumin-ground","Cumin Ground 400g","400","Spices","spices-herbs","jeera;jeera powder","no","in_shopify_only"
"cumin-ground1","Cumin Ground 100g","100","Spices","spices-herbs","Christmas;jeera;jeera powder;Xmas Cooking","no","in_shopify_only"
"cumin-ground-jars","Cumin Ground Jar 70g","70","Spice & Herb Jars","spice-herb-jars","jeera;jeera powder","no","in_shopify_only"
"cumin-seeds","Cumin Seeds 400g","400","Spices","spices-herbs","2021BEST;jeera","no","in_shopify_only"
"cumin-seeds-black","Cumin Seeds Black 100g","100","Spices","spices-herbs","jeera;shah jeera","no","in_shopify_only"
"cumin-seeds-jar","Cumin Seeds Jar 100g","100","Spice & Herb Jars","spice-herb-jars","jeera","no","in_shopify_only"
"curryleaves","Curry Leaves 100g","100","Spices","spices-herbs","","no","in_shopify_only"
"curry-powder","Curry Powder 400g","400","Spices","spices-herbs","mild curry powder","no","in_shopify_only"
"curry-powder-hot","Curry Powder Hot 400g","400","Spices","spices-herbs","","no","in_shopify_only"
